intent,text,complexity,suggested_model
계정_관리,내 계정 비밀번호를 변경하고 싶어요.,simple,small
계정_관리,계정을 완전히 삭제하려면 어떻게 해야 하나요?,simple,small
계정_관리,2단계 인증을 설정하는 방법을 알려주세요.,simple,small
계정_관리,로그인 시 '계정 정지' 메시지가 나오는데 해결 방법이 있나요?,complex,large
계정_관리,가족 계정을 추가하려면 어떤 절차가 필요한가요?,complex,large
계정_관리,"해외에서 로그인 시도가 감지되었는데, 보안 조치가 가능한가요?",complex,large
계정_관리,계정 복구 이메일을 변경하려면 어떻게 해야 하나요?,simple,small
계정_관리,연동된 SNS 계정을 해제하는 방법을 모르겠어요.,simple,small
계정_관리,계정 활동 내역을 확인하고 의심스러운 로그를 신고하려면?,complex,large
계정_관리,결제 수단 정보를 업데이트하려면 어디로 가야 하나요?,simple,small
계정_관리,로그인 시 '잘못된 비밀번호' 오류가 계속 나와요. 어떻게 해결하나요?,complex,large
계정_관리,계정 복구 이메일을 받지 못했어요. 재전송 부탁드려요.,simple,small
계정_관리,가족 계정을 여러 개 관리할 수 있는 방법이 있나요?,complex,large
계정_관리,계정 보안 설정을 확인하고 싶어요.,simple,small
계정_관리,"해외에서 로그인 시도가 감지되었는데, 이게 정상인가요?",complex,large
계정_관리,계정 연동 해제를 하려면 어디로 가야 하나요?,simple,small
계정_관리,이전 계정과 새 계정을 병합할 수 있는 방법이 있을까요?,complex,large
계정_관리,로그인할 때 '계정 비활성화' 오류가 계속 나와요. 해결 방법이 있나요?,complex,large
계정_관리,내 계정에 연결된 이메일 주소를 변경하려면 어떻게 해야 하나요?,simple,small
계정_관리,계정 복구 절차를 진행 중인데 인증 메일이 오지 않아요. 도와주세요.,complex,large
계정_관리,가족 계정을 생성해서 자녀 계정을 관리하고 싶어요. 방법이 있나요?,complex,large
계정_관리,해외에서 로그인할 때 계정 보안 경고가 계속 발생해요. 어떻게 해결할 수 있나요?,complex,large
계정_관리,내 계정 활동 내역을 확인하고 싶어요. 어디서 볼 수 있나요?,simple,small
계정_관리,계정 연동된 결제 수단을 삭제하려고 하는데 메뉴가 보이지 않아요.,complex,large
계정_관리,계정을 삭제하고 싶어요.,simple,small
계정_관리,비밀번호 분실 시 어떻게 해야 하나요?,simple,small
계정_관리,계정 연동된 모든 서비스를 해지하려면 어떻게 해야 하나요?,complex,large
계정_관리,내 계정 활동 내역을 확인할 수 있는 곳이 있나요?,simple,small
계정_관리,가족 계정을 관리하는 기능이 있나요?,simple,small
계정_관리,해외에서 로그인 시 계정 잠금을 해제하는 절차가 궁금합니다.,complex,large
계정_관리,기업용 계정에서 팀 멤버 권한을 조정하는 방법을 알려주세요.,complex,large
계정_관리,계정 보안 알림 설정을 커스터마이징할 수 있나요?,complex,large
계정_관리,가족 계정을 추가해 공동 사용할 수 있나요?,simple,small
계정_관리,해외에서 로그인 시 계정 보안 절차가 어떻게 되나요?,complex,large
계정_관리,계정 연동된 이메일 주소를 변경하는 절차가 궁금합니다.,complex,large
계정_관리,기업용 계정과 개인용 계정을 동시에 관리할 수 있나요?,complex,large
계정_관리,계정 활동 내역에서 의심스러운 로그인을 발견했어요.,complex,large
계정_관리,로그인 시 '잘못된 비밀번호' 오류가 계속 나와요. 어떻게 해결해야 하나요?,complex,large
계정_관리,계정 연동된 이메일 주소를 변경하려면 어떤 절차가 필요한가요?,complex,large
계정_관리,"해외에서 로그인 시도가 차단되었는데, 어떻게 해제할 수 있나요?",,small
계정_관리,내 계정 활동 기록을 확인하고 싶어요.,simple,small
계정_관리,계정 복구 이메일을 받지 못했어요. 재전송 방법이 있나요?,simple,small
계정_관리,가족 계정과 개인 계정을 분리하는 방법을 문의드립니다.,complex,large
계정_관리,로그인할 때 '계정 정지' 메시지가 나오는데 해결 방법이 있나요?,complex,large
계정_관리,계정 연동된 이메일 주소를 변경하는 절차가 어떻게 되나요?,complex,large
계정_관리,비활성 계정 정책에서 예외 적용을 요청할 수 있을까요?,complex,large
계정_관리,프로필에 등록된 전화번호가 잘못된 것 같아요.,simple,small
계정_관리,계정 보안 알림 설정을 세부적으로 조정할 수 있나요?,complex,large
계정_관리,로그인 시 '계정 정지' 알림이 나오는데 해결 방법이 있나요?,complex,large
계정_관리,가족 계정을 추가해 여러 명이 사용할 수 있게 하고 싶어요.,complex,large
계정_관리,해외에서 로그인할 때 계정 보안 절차를 어떻게 완화할 수 있나요?,complex,large
계정_관리,내 계정 활동 기록을 확인하고 의심스러운 로그인을 신고하려면?,complex,large
계정_관리,이메일 주소가 변경됐는데 계정 정보를 업데이트하는 방법이 있나요?,simple,small
계정_관리,계정 복구 이메일로 인증 메일이 오지 않아요. 다른 방법이 있을까요?,complex,large
계정_관리,계정 연동된 결제 수단을 삭제하고 싶은데 어디서 할 수 있나요?,simple,small
계정_관리,가족 계정을 추가하려면 어떤 절차가 필요하나요?,complex,large
계정_관리,계정 연동된 이메일 주소를 변경하려면 어떻게 해야 하나요?,simple,small
계정_관리,계정 복구 절차를 진행 중인데 인증 메일이 오지 않아요.,complex,large
계정_관리,내 계정 활동 기록을 확인할 수 있는 방법이 있나요?,simple,small
계정_관리,계정 권한 분담을 위해 하위 관리자 계정을 생성하는 방법이 궁금합니다.,complex,large
계정_관리,"해외에서 로그인 시도가 감지되었는데, 내 계정이 해킹당한 걸까요?",complex,large
계정_관리,내 계정 활동 내역을 확인할 수 있는 방법이 있나요?,simple,small
계정_관리,기업용 계정과 개인용 계정을 분리하는 방법이 있을까요?,complex,large
주문_결제,주문한 상품 결제 어떻게 해요?,simple,large
주문_결제,결제 수단이 안 돼요. 어떻게 해결해야 하나요?,simple,large
주문_결제,주문 후 결제 취소 가능한가요? 방법은?,simple,large
주문_결제,"해외 결제가 안 되는데, 카드 문제인가요?",complex,large
주문_결제,부분 결제 가능한가요? 일부만 결제하고 싶어요.,complex,large
주문_결제,"결제 오류 메시지가 나오는데, 시스템 점검 중인가요?",complex,large
주문_결제,무통장 입금 계좌번호 다시 알려주세요.,simple,large
주문_결제,결제 완료됐는데 주문 내역에 안 보여요. 확인 부탁드려요.,complex,large
주문_결제,할인 쿠폰 적용 후 결제 금액이 달라 보여요. 왜 그런가요?,complex,large
주문_결제,배송비 포함 결제 금액 총 얼마인가요?,simple,large
주문_결제,주문 후 결제 취소 가능한가요? 만약 가능하다면 절차는 어떻게 되나요?,complex,large
주문_결제,카드 결제 오류 메시지가 계속 나와요. 도와주세요.,simple,large
주문_결제,부분 결제 가능한가요? 일부만 결제하고 나머지는 나중에 할 수 있나요?,complex,large
주문_결제,해외 카드로 결제하려고 하는데 제한이 있나요? 가능하다면 절차는 어떻게 되나요?,complex,large
주문_결제,결제 금액을 잘못 입력했어요. 수정 가능한가요?,simple,large
주문_결제,무통장 입금 후 입금 확인이 안 되고 있어요. 언제쯤 반영되나요?,complex,large
주문_결제,할인 쿠폰 적용 후 결제 금액이 달라졌어요. 정상인가요?,simple,large
주문_결제,주문한 물건 결제하려고 하는데 어떻게 해요?,simple,large
주문_결제,결제 수단이 안 돼요. 카드 오류인가요?,simple,large
주문_결제,주문 후 결제 취소하려면 어떻게 해야 하나요?,simple,large
주문_결제,분할 결제가 가능한가요? 3개월 할부로 하고 싶어요.,complex,large
주문_결제,결제 페이지에서 계속 오류가 나요. 주문번호 12345입니다.,complex,large
주문_결제,무통장 입금 계좌번호를 다시 알려주세요.,simple,large
주문_결제,해외 카드로 결제했는데 승인 거절됐어요. 해결 방법 있나요?,complex,large
주문_결제,결제 완료됐는데 아직 주문 상태가 '결제 대기'예요.,simple,large
주문_결제,포인트와 쿠폰을 동시에 사용할 수 있나요? 결제 시 적용 방법을 모르겠어요.,complex,large
주문_결제,배송비 결제 후 무료 배송 기준 금액을 넘겼어요. 환불받을 수 있나요?,complex,large
주문_결제,결제 수단을 변경하고 싶어요.,simple,large
주문_결제,주문 금액이 잘못 표시됐어요. 확인 부탁드립니다.,complex,large
주문_결제,카드 결제 승인 오류가 발생했어요. 도와주세요.,complex,large
주문_결제,무통장 입금 계좌번호를 알려주세요.,simple,large
주문_결제,결제 완료했는데 주문 내역에 안 보여요.,complex,large
주문_결제,할인 쿠폰이 자동 적용되지 않았어요.,complex,large
주문_결제,배송비 결제 방법을 선택할 수 있나요?,simple,large
주문_결제,부분 취소 시 결제 금액 조정이 가능한가요?,complex,large
주문_결제,해외 결제 시 추가 수수료가 발생하나요?,complex,large
주문_결제,카드 결제 오류 발생 시 대처 방법 알려주세요.,complex,large
주문_결제,결제 완료됐는데 주문 내역에 안 보여요.,simple,large
주문_결제,무통장 입금 계좌번호와 입금 기한을 알려주세요.,simple,large
주문_결제,해외 카드로 결제 시 추가 수수료가 발생하나요?,complex,large
주문_결제,결제 페이지에서 계속 오류가 나요. 도와주세요.,simple,large
주문_결제,분할 결제는 가능한가요? 최대 몇 회까지 되나요?,complex,large
주문_결제,결제 후 영수증 발급받을 수 있는 방법이 있나요?,complex,large
주문_결제,주문 후 결제 취소 가능한가요? 취소 방법 알려주세요.,simple,large
주문_결제,해외 카드로 결제하려는데 제한이 있나요? 수수료는 어떻게 되나요?,complex,large
주문_결제,결제 페이지에서 오류가 발생합니다. 시스템 점검 중인가요?,complex,large
주문_결제,분할 결제는 가능한가요? 3개월 할부로 처리하고 싶습니다.,complex,large
주문_결제,주문 금액과 실제 결제 금액이 다릅니다. 왜 그런가요?,simple,large
주문_결제,무통장 입금 후 입금 확인이 안 됩니다. 영업일 기준 몇 일 걸리나요?,complex,large
주문_결제,"결제 완료 알림 받았는데, 주문 내역에 없어요. 확인 부탁드립니다.",simple,large
주문_결제,포인트와 쿠폰을 동시에 사용해 결제할 수 있나요? 사용 조건이 궁금합니다.,complex,large
주문_결제,카드 결제 오류 발생 시 재시도 방법이 있나요?,complex,large
주문_결제,주문 후 결제 상태를 어디서 확인할 수 있나요?,simple,large
주문_결제,부분 취소 시 결제 금액은 어떻게 처리되나요?,complex,large
주문_결제,결제 완료 후 영수증 발급받을 수 있나요?,simple,large
주문_결제,할인 쿠폰 적용 후 결제 금액이 달라 보이는데 정상인가요?,complex,large
주문_결제,결제 페이지에서 '거래 취소' 알림이 뜨는데 어떻게 해야 하나요?,complex,large
주문_결제,주문한 물건 결제 어떻게 해요?,simple,large
주문_결제,주문 후 결제 취소 가능한가요? 방법은요?,complex,large
주문_결제,카드 결제 오류 발생했어요. 도와주세요.,simple,large
주문_결제,해외 카드로 결제할 때 추가 수수료가 있나요?,complex,large
주문_결제,결제 후 영수증 발급받을 수 있나요? PDF로 받고 싶어요.,complex,large
주문_결제,할인 쿠폰 적용 후 결제 금액이 달라 보여요.,complex,large
주문_결제,주문 결제 어떻게 해요?,simple,large
주문_결제,주문한 상품 결제 상태를 확인하고 싶어요.,simple,large
주문_결제,"결제 오류 메시지가 계속 나오는데, 도와주세요.",complex,large
주문_결제,카드 결제 시 할인 적용이 안 되어 있어요. 확인 부탁드립니다.,complex,large
주문_결제,해외 카드로 결제하려는데 제한이 있나요? 가능하다면 절차를 알려주세요.,complex,large
주문_결제,결제 완료됐는데 주문 내역에 안 보여요. 문제인가요?,simple,large
주문_결제,분할 결제를 원해요. 가능한 방법과 조건을 설명해 주세요.,complex,large
주문_결제,무통장 입금 후 입금 확인이 안 되고 있어요. 확인 부탁드립니다.,complex,large
주문_결제,주문했는데 결제가 안 됐어요.,simple,large
주문_결제,주문한 상품 결제 금액이 잘못 표시됐어요.,simple,large
주문_결제,결제 완료 후 주문 취소 가능한가요?,simple,large
주문_결제,해외 카드로 결제할 때 추가 수수료가 발생하나요?,complex,large
주문_결제,분할 결제를 요청했는데 한 번에 청구됐어요.,complex,large
주문_결제,결제 오류로 인해 주문이 중복 처리됐어요. 어떻게 해야 하나요?,complex,large
주문_결제,무통장 입금 후 입금 확인이 안 되고 있어요.,simple,large
주문_결제,결제 페이지에서 카드사 선택이 안 돼요. 어떻게 해결하나요?,complex,large
주문_결제,주문 후 7일 이내에 결제해야 하나요? 기간을 연장받을 수 있나요?,complex,large
배송_문의,주문한 상품 언제 도착하나요?,simple,small
배송_문의,배송 상태가 어떻게 되나요? 추적 번호 알려주세요.,simple,small
배송_문의,어제 주문했는데 아직 출고 전이라고 나와요. 언제 발송되나요?,complex,large
배송_문의,배송 기간이 얼마나 걸리나요? 주말에도 배송되나요?,simple,small
배송_문의,해외 배송 가능한가요? 관세 비용은 어떻게 되나요?,complex,large
배송_문의,배송지가 잘못 입력됐어요. 변경할 수 있나요?,simple,small
배송_문의,파손 주의 표시가 필요한 상품인데 안전하게 배송되나요?,complex,large
배송_문의,배송비 얼마인가요? 무료 배송 조건도 알려주세요.,simple,small
배송_문의,교환 신청했는데 새 상품은 언제 받을 수 있나요? 기존 상품 반품은 어떻게 해야 하나요?,complex,large
배송_문의,당일 배송 가능한 지역인가요? 급해서요.,simple,small
배송_문의,주문한 상품이 아직 도착하지 않았어요. 언제 받을 수 있나요?,simple,small
배송_문의,배송 상태를 확인할 수 있는 방법이 있나요?,simple,small
배송_문의,택배 기사가 연락도 없이 배송을 시도하지 않았어요. 어떻게 해야 하나요?,complex,large
배송_문의,주문한 지 3일이 지났는데 아직 출고 전이라고 나와요. 문제 있나요?,simple,small
배송_문의,해외 배송인데 통관 지연으로 인해 배송이 늦어지고 있다고 합니다. 해결 방법이 있을까요?,complex,large
배송_문의,배송지가 잘못 입력되었어요. 변경할 수 있나요?,simple,small
배송_문의,파손 주의 표시가 된 상품인데 배송 중 파손되었습니다. 보상 절차가 어떻게 되나요?,complex,large
